Loc2_CornyCholmc2_00002	Ein d#usterer Wald.
Loc3_StareWiki_00148	Guten Tag. Das ist ja eine Menge Kleinkram !
Loc3_StareWiki_00149	Einige n#utzliche Kleinigkeiten fehlen hier aber.
Loc3_StareWiki_00150	Was haben Sie denn noch so im Bauchladen ?
Loc3_StareWiki_00151	Was f#ur F#ahigkeiten sollen das sein ?
Loc3_StareWiki_00152	Sie f#alschen Schriften ?
Loc3_StareWiki_00153	Was #fkosten#F diese Dienste ?
Loc3_StareWiki_00154	Samen f#ur Balkonpflanzen ? - Ihr St#adter !
Loc3_StareWiki_00155	Entschuldigung. Ich m#pchte nichts kaufen.
Loc3_StareWiki_00158	Nein, nur kleine Kinder, sie sind n#amlich die Kunden der Zukunft.
Loc3_StareWiki_00161	Du willst mich wohl verkohlen? Und wo sind dann deine Eltern?
Loc3_StareWiki_00164	Das ist ja alles sehr interessant, aber verschwinde jetzt - du vergraulst mir meine Kunden.
Loc3_StareWiki_00167	Ja, das ist alles was man so braucht. Was willst du ?
Loc3_StareWiki_00170	Was meinst du ? Klar, es ist nicht s#amtliches Kleinzeug, aber ich #fverkaufe#F ja auch noch andere Sachen.
Loc3_StareWiki_00173	Nichts. Ich habe aber andere F#ahigkeiten.
Loc3_StareWiki_00176	Ich kann zum Beispiel Schriften nachmachen.
Loc3_StareWiki_00179	Hey, hey, - nicht so laut. Falls du mal was zum Nachmachen hast - komm zu mir. Vielleicht die Unterschrift eines Ber#uhmten - das w#ars !
Loc3_StareWiki_00182	Kein Geld, kein Geld. Ich suche etwas besonderes. Was nicht jeder hat - etwas exklusives - hmmm, ich wei#t auch nicht so recht, was.
Loc3_StareWiki_00185	Schon wieder ein Bauer vom Dorf. Auch wir St#adter haben gern etwas Gr#unes um uns !
Loc3_StareWiki_00188	Was soll ich mit dem Zeug? Ich brauche Deine Geschenke nicht!
Loc3_StareWiki_00191	Das ist eine nichtunterschriebene Erlaubnis. Jetzt brauche ich noch eine Originalunterschrift zum Vergleich. Komm wieder her, wenn Du sie hast. Das Dokument behalte ich so lange.
Loc3_StareWiki_00194	Was soll ich mit dem Zeug? Ich brauche Deine Geschenke nicht!
Loc3_StareWiki_00197	Die Unterschrift Augusts unter einem Befehl. Gute Idee! Wo soll jetzt die Unterschrift drauf?
Loc3_StareWiki_00200	Was soll ich mit dem Zeug? Ich brauche Deine Geschenke nicht!
Loc3_StareWiki_00203	Eine Sonnenarmbanduhr! Mama mia, das ist eine Kostbarkeit. Tausendmal danke daf#ur! Was kann ich f#ur Dich tun? Sag, was liegt Dir auf dem Herzen?
Loc3_StareWiki_00206	Die Unterschrift Augusts! Du bist mir einer! Warte, und was gibst Du mir daf#ur?
Loc3_StareWiki_00209	Du bekommst die unterschriebene Erlaubnis nur, wenn Du mir etwas besonderes gibst.
Loc3_StareWiki_00212	Eine Sonnenarmbanduhr ! Das ist Entsch#adigung genug. Jetzt brauche ich nur noch das fehlenden Teil zum F#alschen.
Loc3_StareWiki_00215	Eine Sonnenarmbanduhr ! Das ist Entsch#adigung genug. Jetzt brauche ich nur noch das fehlenden Teil zum F#alschen.
Loc3_StareWiki_00218	Das ist eine nichtunterschriebene Erlaubnis. Jetzt brauche ich noch eine Originalunterschrift zum Vergleich. Komm wieder her, wenn Du sie hast. Das Dokument behalte ich so lange.
Loc3_StareWiki_00221	Die Unterschrift Augusts unter einem Befehl. Gute Idee! Wo soll jetzt die Unterschrift drauf?
Loc3_StareWiki_00224	Hier, fertig. Die Originalunterschrift des K#pnigs behalte ich mir - vielleicht unterschreibe ich mal Augusts Autogrammkarten f#ur die Touristen.
Loc3_StareWiki_00227	Hier hast Du die Erlaubnis. Die Originalhandschrift des K#pnigs behalte ich mir - vielleicht unterschreibe ich mal Augusts Autogrammkarten f#ur die Touristen.
Loc3_StareWiki_00230	Eine Sonnenarmbanduhr ! Das ist Entsch#adigung genug. Ich zeige sie gleich Agnes.
Loc3_StareWiki_00233	Und mein Dokument?
Loc3_StareWiki_00236	Entschuldige, das habe ich in der Hektik ganz vergessen. Hier hast Du die Erlaubnis. Die Originalhandschrift des K#pnigs behalte ich mir - vielleicht unterschreibe ich mal Augusts Autogrammkarten f#ur die Touristen.
Loc3_StareWiki_00239	Kutschen! Gebrauchte Wagen!
Loc3_StareWiki_00242	Fast neue Kutschen - f#ur jede Gelegenheit !
Loc3_StareWiki_00245	Kutschen, nicht nur f#ur ein, - nein, auch f#ur mehrere Pferde!
Loc3_StareWiki_00248	Eine halbe Woche bis nach Paris - das ist nur mit diesen Kutschen m#pglich!
Loc3_StareWiki_00251	Stollen! Bald sind wieder Weihnachten! Stollen!
Loc3_StareWiki_00254	Echter Dresdner Stollen ! Nu solange noch der Vorrat reicht !
Loc3_StareWiki_00257	Stollen - jetzt auch mit Rosinen !
Loc3_StareWiki_00260	Kleinkram ! Alles was man so braucht !
Loc3_StareWiki_00263	Samen f#ur s#amtliche Balkonpflanzen!
Loc3_StareWiki_00266	Nadel und Zwirn f#ur zerrissene Kleidung !
Loc3_StareWiki_00269	S#u#tigkeiten f#ur die Kleinen - heute umsonst !
Loc3_StareWiki_00272	Schreibt mal wieder! - Nur mit meinem Schreibzeug!
Loc3_Straze_00002	Sie wachen.
Loc3_Straze_00005	Das k#pnigliche Wappen.
Loc3_Straze_00008	Das Wappen h#angt zu hoch.
Loc3_Straze_00011	Das sehen die Wachen!
Loc3_Straze_00014	Vor den Wachen kann ich mich doch$nicht umziehen!
Loc3_Straze_00017	Stop!
Loc3_Straze_00020	Zutritt nur f#ur die K#pnigsfamilie oder f#ur Bedienstete!
Loc3_Straze_00023	Halt!
Loc3_Straze_00026	Hey, ich bins doch, Krabat! Aus der k#pniglichen K#uche.
Loc3_Straze_00029	Das kann ja wohl jeder sagen. Zutritt nur in Dienstkleidung.
Loc3_Straze_00032	Stop!
Loc3_Straze_00035	Alle Achtung, dein Kumpel hat wirklich einen riesigen Wortschatz. Ich komme gleich wieder.
Loc3_Straze_00038	Stop ! Halt ! Kein Zutritt !
Loc3_Straze_00041	Zutritt nur in Dienstkleidung !
Loc3_Straze_00044	Jetzt aber schnell, der K#pnig ist bald zur#uck.
Loc3_Stwa_00002	He, was hast Du hier zu suchen?
Loc3_Stwa_00005	Oh, entschuldigen Sie bitte!
Loc3_Stwa_00008	Schnell weg. Er sieht nicht so aus, als ob er Spa#t versteht.
Loc3_Stwa_00011	Mit wem redest Du? Raus!!!
Loc3_Stwa_00014	Falsches Haus! Raus!!!
Loc3_Stwa_00017	Was habe ich Dir gesagt? Raus!!!
Loc3_Terassa_00002	Er arbeitet.
Loc3_Terassa_00005	Das ist ein Hammer.
Loc3_Terassa_00008	Siehst Du nicht, da#t ich arbeite?
Loc3_Terassa_00011	Ich m#pchte nicht mit Dir reden!
Loc3_Terassa_00014	Das Gel#ander h#alt nicht. Das mu#t bis zum Abend repariert sein.
Loc3_Terassa_00017	La#t die Finger von meinem Handwerkszeug!
Loc3_Terassa_00020	Komisch. Was hat ein Tischlerhammer hier zu suchen? Kann man damit auch Eisen bearbeiten? Ich mu#t das mal versuchen...
Loc3_Terassa_00023	Heh, Du grober Kerl! Du verunstaltest meine Arbeit! Jetzt ist eine Delle im Gelaender!!!
Loc3_Terassa_00026	Erz#ahlen Sie doch, da#t das der Daumenabdruck von August dem Starken ist! Das wird bestimmt mal eine Touristenattraktion.
Loc3_Terassa_00029	Geh mir aus dem Weg!!!
Loc3_Terassa_00032	Jetzt sehe ich erst aus.
Loc3_Terassa_00035	Ach, endlich wieder in den eigenen Klamotten - welcome home!
Loc3_Terassa_00038	Wenn mich die Wachen in der Stadt mit der Diestkleidung erwischen, bekomme ich wieder #Arger!
Loc3_Trepjena_00002	Er tut seine Pflicht.
Loc3_Trepjena_00005	Diese Tafel sieht ziemlich neu aus.
Loc3_Trepjena_00008	Die Tafel h#angt fest an der Wand.
Loc3_Trepjena_00011	Die T#ur ist verschlossen.
Loc3_Trepjena_00014	Das mu#t wohl irgendein F#urst gewesen sein.
Loc3_Trepjena_00017	Diese Frau habe ich schon mal auf dem Hof gesehen. Auf dem Bild ist sie aber wesentlich j#unger.
Loc3_Trepjena_00020	Wenn ich so aus dem Fenster schaue - Dresden ist schon eine sch#pne Stadt.
Loc3_Trepjena_00023	Was will ich denn mit dem Bild?
Loc3_Trepjena_00026	Und wie soll ich das Bild erreichen?
Loc3_Trepjena_00029	Ich habe keinen Schl#ussel!
Loc3_Trepjena_00032	Das Fenster kann ich nicht #pffnen!
Loc3_Trepjena_00035	Das ist nicht der richtige Schl#ussel.
Loc3_Trepjena_00038	Die Tafel m#pchte ich nicht kaputtmachen!
Loc3_Trepjena_00041	Ich will und darf mich nicht mit dir unterhalten.
Loc3_Trepjena_00044	Selbst wenn hinter mir die Schatzkammer w#are, ich h#atte es dir nicht gesagt.
Loc3_Trepjena_00047	Verschwinde! Du hast hier nichts verloren.
Loc3_Trepjena_00050	Soll ich etwa den Hauptw#achter rufen?
Loc3_Zachod_00002	Ein Seil.
Loc3_Zachod_00005	Kisten aus Holz.
Loc3_Zachod_00008	Ein neues St#uck des Holzfu#tbodens.
Loc3_Zachod_00011	Ein Brett.
Loc3_Zachod_00014	Teller und Tassen.
Loc3_Zachod_00017	Ein gro#ter Korb.
Loc3_Zachod_00020	Kisten aus Holz.
Loc3_Zachod_00023	Puh, die Kisten sind zu schwer. Ich habe nicht genug Kraft.
Loc3_Zachod_00026	Die Kisten sind immer noch zu schwer.
Loc3_Zachod_00029	Das reicht mit Verschieben!
Loc3_Zachod_00032	Daf#ur brauche ich entsprechendes Werkzeug.
Loc3_Zachod_00035	So geht es!
Loc3_Zachod_00038	Er ist zu d#unn!
Loc3_Zachod_00041	So zerbreche ich ihn noch!
Loc3_Zachod_00044	So ein Brett brauche ich nicht mehr! Hier gibt es keine kaputten Br#ucken!
Loc3_Zachod_00047	Wof#ur sollte ich das brauchen?
Loc3_Zachod_00050	Den Korb erreiche ich nicht!
Loc3_Zahrodnik_00002	Er arbeitet.
Loc3_Zahrodnik_00005	Ein Modell.
Loc3_Zahrodnik_00008	Ein Blatt Papier.
Loc3_Zahrodnik_00011	Eine kleine Kabine.
Loc3_Zahrodnik_00014	Ein gro#tes Blatt Papier.
Loc3_Zahrodnik_00017	Eine Schreibfeder.
Loc3_Zahrodnik_00020	Dokumente.
Loc3_Zahrodnik_00023	Zu schwer...
Loc3_Zahrodnik_00026	So viele Zahlen machen mich nur m#ude.
Loc3_Zahrodnik_00029	Heh, sie ist genauso gro#t wie ich!
Loc3_Zahrodnik_00032	Sieht wie eine Zeichnung der Kabine aus. Die will ich nicht!
Loc3_Zahrodnik_00035	Ich kann doch nicht schreiben!
Loc3_Zahrodnik_00038	Ich kann nicht erkennen, was sie beinhalten.
Loc3_Zahrodnik_00063	Ich suche nach Handrij Zahrodnik.
Loc3_Zahrodnik_00064	Ich bin Krabat. Der Wassermann erz#ahlte mir,$da#t Sie mir in einer wichtigen Angelegenheit$helfen k#pnnen.
Loc3_Zahrodnik_00065	Der kleine Jakub wartet noch auf sein Spielzeug.
Loc3_Zahrodnik_00066	Ich suche nach der Sch#ussel von Swaixtix. Sie ist in der Schatzkammer des K#pnigs.
Loc3_Zahrodnik_00067	Ist es m#pglich, die Schale zu bekommen ?
Loc3_Zahrodnik_00068	Erz#ahl mir mehr #uber Dinglinger.
Loc3_Zahrodnik_00069	Wo finde ich den Juwelier ?
Loc3_Zahrodnik_00070	Ich war bereits bei Dinglinger, unterhalten$konnten wir uns jedoch nicht richtig.
Loc3_Zahrodnik_00071	Was ist das, woran Sie gerade arbeiten ?
Loc3_Zahrodnik_00072	Ein Fahrstuhl ? Wazu braucht ihr St#adter$denn so etwas ?
Loc3_Zahrodnik_00073	Wann ist der Fahrstuhl denn fertig ?
Loc3_Zahrodnik_00074	Also dann, auf Wiedersehen.
Loc3_Zahrodnik_00077	Ich bin Krabat und wer sind Sie?
Loc3_Zahrodnik_00080	Komischer Name - was machst du da eigentlich hinter meinem R#ucken?
Loc3_Zahrodnik_00083	Der, den du suchst, steht vor dir. Was willst du Schlabat?
Loc3_Zahrodnik_00086	Klar, der Wassermann. Was f#ur Geschichten willst du mir denn noch erz#ahlen? Ich mu#t arbeiten.
Loc3_Zahrodnik_00089	Oje, den habe ich ja ganz vergessen! Du bist schlauer, als ich dachte. Was kann ich f#ur dich tun, Marat?
Loc3_Zahrodnik_00092	Mein Gott, im Herzen von Sachsen !
Loc3_Zahrodnik_00095	Das kann ich dir nicht sagen. Vielleicht kann dir mein Freund Dinglinger weiterhelfen.
Loc3_Zahrodnik_00098	Johann Melchior Dinglinger - Hofjuwelier und somit enger Freund von August.
Loc3_Zahrodnik_00101	Er ist einer der #fAuserw#ahlten#F, die Zutritt zum Herzen Sachsens haben.
Loc3_Zahrodnik_00104	Letzte Woche erst habe ich bei ihm eine neue Wasserleitung verlegt. Ja, wir beide verstehen uns wirklich gut.
Loc3_Zahrodnik_00107	Das ist schwierig. Er arbeitet mal wieder an einem gro#ten Auftrag f#ur August und ist deswegen viel im Schlo#t.
Loc3_Zahrodnik_00110	Wenn es dir gelingt, ins Schlo#t zu gelangen - ich gebe dir eine Empfehlung von mir mit. Er ist Fremden gegen#uber ein wenig scheu.
Loc3_Zahrodnik_00113	Er arbeitet mal wieder an einem wichtigen Auftrag des K#pnigs.
Loc3_Zahrodnik_00116	Fremden gegen#uber ist er meist ein wenig #angstlich. Drum gebe ich dir eine Empfehlung f#ur ihn mit, das sollte dir helfen.
Loc3_Zahrodnik_00119	Das ist sehr nett. Auf Wiedersehen.
Loc3_Zahrodnik_00122	Das ist meine neueste Erfindung - ein Fahrstuhl f#ur mein Haus.
Loc3_Zahrodnik_00125	In der Stadt bauen wir in die H#phe - des Platzes wegen. Und im Alter wirst auch du keine Treppen mehr hochflitzen k#pnnen.
Loc3_Zahrodnik_00128	Das sind nur die ersten Versuche. Die meiste Zeit mu#t ich an anderen Aufgaben verbringen,
Loc3_Zahrodnik_00131	 zum Beispiel an der Ausrichtung der Kanonen auf der Festung K#pnigstein.
Loc3_Zahrodnik_00134	Unsere Feldherren haben wohl noch nie etwas #uber Ballisitik geh#prt. So mu#t ich mich wieder darum k#ummern.
Loc3_Zastup_00002	Er guckt zum Fenster raus.
Loc3_Zastup_00005	Das Eingangstor.
Loc3_Zastup_00008	Sie ist zugeschlossen. Den Schl#ussel habe ich auch nicht.
Loc3_Zastup_00011	Eine Schranke.
Loc3_Zastup_00014	Die Schranke l#a#tt sich nur aus dem H#auschen #pffnen.
Loc3_Zastup_00017	Ich klettere nicht #uber die Schranke.
Loc3_Zastup_00020	Der Eintritt kostet 7 Taler.
Loc3_Zastup_00023	Oh, der Pelz ist ja sch#pn weich ! Das nenne ich eine Unterlage f#ur meinen harten Stuhl. Vielen Dank.
Loc3_Zastup_00026	Daf#ur darfst du dir den J#agerhof ansehen. Ich #pffne dir die Schranke und gehe dann schnell Kaffee holen.
Loc3_Zastup_00045	Ich bin Krabat und wer bist du ?
Loc3_Zastup_00046	Den ganzen Tag Karten verkaufen - ist das nicht langweilig ?
Loc3_Zastup_00047	Kann ich dir irgendwie helfen ?
Loc3_Zastup_00048	Kennst du Handrij Zahrodnik ?
Loc3_Zastup_00049	Was ist das f#ur ein Geb#aude ?
Loc3_Zastup_00050	Darf ich mir die Manege mal anschauen ?
Loc3_Zastup_00051	Woher kommen diese seltsamen T#pne ?
Loc3_Zastup_00052	Das ist ja furchtbar ! Der arme L#pwe !
Loc3_Zastup_00053	Das w#are alles, auf Wiedersehen.
Loc3_Zastup_00056	Mein Name ist Mato. Ich verkaufe hier Karten.
Loc3_Zastup_00059	Nein, gewi#t nicht. Aber meine R#uckenschmerzen sind kaum zu ertragen, da ich den halben Tag auf diesem harten Stuhl rumsitze.
Loc3_Zastup_00062	Klar, wenn du mir eine weiche Unterlage zum Sitzen besorgen k#pnntest, mein R#ucken w#are dir dankbar.
Loc3_Zastup_00065	Nein, diesen Namen h#pre ich zum ersten Mal.
Loc3_Zastup_00068	Das ist der J#agerhof. - Und die Manege f#ur exotische Tiere, die der August so liebt.
Loc3_Zastup_00071	Das kostet 7 Taler.
Loc3_Zastup_00074	Da drin wird wieder ein Soldat vom L#pwen gejagt. Wie im alten Rom, nur das Kolloseum fehlt noch.
Loc3_Zastup_00077	Um den L#pwen w#urde ich mir keine Sorgen machen. Lieber um den Anzug des Soldaten. Da wird sich seine Frau wieder mal freuen.
Loc3_Zastup_00080	Dieses sch#pne Kettenhemd, so etwas bekommt man heutzutage nur sehr schwer.
Loc3_Zelen_00002	Ein unterschriebenes Dokument - eine gute Vorlage f#ur die Erlaubnis!
Loc3_Zelen_00005	Ein Klavier.
Loc3_Zelen_00008	Ein Stuhl.
Loc3_Zelen_00011	Das sind Ger#atschaften zum Siegeln.
Loc3_Zelen_00014	Ja, ich w#urde gerne auf ihm spielen.
Loc3_Zelen_00017	Ich m#pchte mich nicht setzen.
Loc3_Zelen_00020	Nicht noch einmal!
Loc3_Zelen_00023	Etwas sp#ater.
Loc3_Zelen_00026	Jetzt klebt das k#pnigliche Siegel auf der Erlaubnis.
Loc3_Zelen_00029	Das brauche ich nicht!
Loc3_Zelen_00032	Nicht noch einmal!
Loc3_Zelen_00035	Was suchst Du hier, Diener ? Was soll das hei#ten ? Jetzt schn#uffeln die Diener schon in meinen Sachen rum !
Loc3_Zelen_00038	Majest#at, Ihr kennt mich doch! Ich bin Krabat, der Schweinehirt aus Eutrich.
Loc3_Zelen_00041	Der K#pnig kennt keinen solchen Hirten. Weg mit ihm !
Loc4_Doma4_00002	Zu Hause war sicher die Freude gro#t bei der R#uckkehr des verlorenen Sohnes. Die Mutter hatte unseren jungen Helden ordentlich ausgeschimpft, aber abends bei einem guten St#uck Schwein, welches der Vater geschlachtet hatte, lichteten sich die dunklen Wolken der m#utterlichen Sorge. Krabat mu#tte beim Sonntagskleid der Mutter versprechen, in der Heimat zu bleiben.
Loc4_Doma4_00005	Ja, in der Heimat, was nat#urlich auch das kleine sorbische Dorf Ostro beinhaltet, #uber dem der Zufluchtsort unserer Vorfahren thront - das Schlo#t.%%Dort ist das heilige Buch versteckt. Und Krabat begibt sich wieder auf den Weg.
Loc4_Extro_00002	Der Koraktor war in guten H#anden. Krabat war bekannt und auch ein Helfer f#ur das sorbische Volk. Er wendete die Macht des Buches und seine Kenntnisse zum Wohl des Volkes an. Er verbesserte das sandige Ackerland, legte S#umpfe trocken, bes#anftigte sch#adliche Unwetter und pflegte ab und zu auch seine Verbindungen nach Dresden.
Loc4_Extro_00005	Krabat war eine gute Seele. Nach seinem Tod blieb nur die Sage, welche sich #uber die Grenzen sorbischer Fluren hinaus verbreitete. Das Zauberbuch wurde jedoch nie gefunden. Der alte J#ungling, wie ihn die Bauern nannten, hatte keinerlei Nachla#t. Doch sein Geist ist eine Ader unseres heutigen Lebens. Jeder kann so stark, ausdauernd, mutig und selbstlos wie er sein. Man mu#t nur die #fKrabat-Seite#F in sich selbst finden.
Loc4_Extro_00008	Die Sage vom G#ansehirten aus Eutrich bleibt ein fester Bestandteil unseres Bewu#ttseins, solange wir das Pl#atschern des Klosterwassers h#pren.
Loc4_Extro_00014	(c) Copyleft by the Free Software Foundation ;-)
Loc4_Hrodz_00002	Ein gro#ter Stein. Sieht schwer aus.
Loc4_Hrodz_00005	Donnerkiesel, bin ich ein kr#aftiger Kerl. Jetzt bin ich aber schwer!
Loc4_Hrodz_00008	Hmmm ...
Loc4_Hrodz_00011	Hmmm ...
Loc4_Hrodz_00014	AAAAAAAAAAH!
Loc4_Rowy_00012	Jetzt vernichte ich Dich!
Loc4_Rowy_00013	Auf diesen Augenblick habe ich lange genug gewartet!
Loc4_Rowy_00014	Es gibt keinen Ausweg, Krabat!
Loc4_Rowy_00015	Die Mutter wird sehr weinen.
Loc4_Rowy_00016	Ich zerquetsche Dich!
Loc4_Rowy_00017	Du gemeiner Lehrling, Schande f#ur alle M#uller!
Loc4_Rowy_00020	Aaaahh, lauter Knochen!
Loc4_Rowy_00023	Das kommt mir nicht in den Topf!
Loc4_Rowy_00026	Das ist die Statue des Swaixtix. Ich habe$sie auf der Zeichnung des Pfarrers gesehen.
Loc4_Rowy_00029	Trockenes Stroh.
Loc4_Rowy_00032	Das sind die Gr#aber der Milkener F#ursten.
Loc4_Rowy_00035	Komisch. Gerade auf dieses Grab f#allt mehr Licht.
Loc4_Rowy_00038	Der M#ueller.
Loc4_Rowy_00041	Die Hand von Swaixtix.
Loc4_Rowy_00044	Da schau ich nicht noch mal rein!
Loc4_Rowy_00047	In der Lichtschaale liegt das Stroh.
Loc4_Rowy_00050	In der Schaale brennt das Stroh.
Loc4_Rowy_00053	Das fasse ich lieber nicht an.
Loc4_Rowy_00056	Die Statue ist zu schwer.
Loc4_Rowy_00059	Ich brauche kein Stroh mehr.
Loc4_Rowy_00062	Hier ist es zu dunkel. Ich will hier nichts anfassen.
Loc4_Rowy_00065	Mit dem rede ich nicht mehr!
Loc4_Rowy_00068	So geht das nicht!
Loc4_Rowy_00071	In welche komische H#phle bin ich jetzt wieder reingefallen?
Loc4_Rowy_00074	Ist das nicht die Opferst#atte, die ich die ganze Zeit gesucht habe?
Loc4_Rowy_00077	Das braucht er nicht.
Loc4_Rowy_00080	Das brenne ich lieber nicht an.
Loc4_Rowy_00083	Gewalt hilft hier nicht.
Loc4_Rowy_00086	Ich bin doch nicht dumm!
Loc4_Rowy_00089	Ich gr#u#te Dich, Lehrling!
Loc4_Rowy_00092	M#uller?!
Loc4_Rowy_00095	Willst Du Deinen alten Meister nicht begr#u#ten?
Loc4_Rowy_00098	Was suchst Du hier?
Loc4_Rowy_00101	Das hei#tt #fSie#F! Was suchen #fSie#F hier? Lehrt man solch ein Verhalten in Dresden?
Loc4_Rowy_00104	Woher wissen Sie, da#t ich in Dresden war?
Loc4_Rowy_00107	Untersch#atze nie alte Leute!
Loc4_Rowy_00110	Sch#pne Zaubertricks. Die Katze hatte recht. Die Tricks reichen wirklich nur f#ur einen Kindergeburtstag.
Loc4_Rowy_00113	Ich habe Dich bestimmt untersch#atzt. Jetzt gib mir aber, was mir geh#prt.
Loc4_Rowy_00116	Ich wei#t gar nicht, wovon Sie reden.
Loc4_Rowy_00119	Spa#te nicht mit mir, Krabat! Gib mir den Koraktor! Er ist das Erbe meiner Vorfahren!
Loc4_Rowy_00122	Mit so einer gro#ten Macht k#pnnen sie sowieso nicht umgehen.
Loc4_Rowy_00125	Was erlaubst Du Dir, mir so etwas zu sagen?
Loc4_Rowy_00128	Das sehe ich im Augenblick sehr deutlich. Der m#achtige Zauberer, der Nachfolger des gro#ten Stammes der Mei#tener (???), h#angt als Fledermaus vor einem jungen Kerl unter dem Dach der heiligen St#atte.
Loc4_Rowy_00131	Mir ist das zu dumm... ich gehe lieber!
Loc4_Rowy_00134	Du gehst nirgendwo hin!
Loc4_Rowy_00137	Das werden wir ja sehen. Als Sie so dagehangen haben, ist Ihnen wohl das Blut in den Kopf gestiegen, oder?
Loc4_Rowy_00140	Jetzt aber Schlu#t! Solche Schimpfw#prter sind nichts f#ur die Ohren eines anst#andigen sorbischen Kerls!
Loc4_Rowy_00143	Nein! Weg mit dem Buch!
Loc4_Rowy_00146	Erst schreien sie danach, und jetzt ? Was steht hier denn interessantes ? #fKleinigkeiten f#ur gute Freunde#F - in Ordnung.
Loc4_Rowy_00149	M#achte der Erde, ich rufe Euch!$Ich habe nicht mehr so eine gro#te Klappe.$Ich verstecke mich aber nicht -$so schickt mir ein sch#pnes Schaf - von der Weide!
Loc4_Rowy_00152	Das war wohl nix. Kann ich es mal versuchen?
Loc4_Rowy_00155	Moment ! Das war bestimmt der falsche Reim. (Jaja, es reimt sich gar nicht, ich wei#t ! Ich bin aber kein Dichter !)
Loc4_Rowy_00158	M#achte der H#plle, Krabat ruft Euch!$Die Erdkruste bebt.$Euer P#achter kehrt gleich zur#uck,$er betr#ubt keinen Menschen mehr.
Loc4_Rowy_00161	Er war lange genug auf der von Gott gegebenen Erde,$die Arbeit des Menschen vergoldet er aber nicht.$Er hatte gro#te Macht dazu.$Jetzt aber genug, das Leben w#ahrt nicht ewig.
Loc4_Rowy_00164	Was ist passiert? Der M#uller ist immer noch da, aber das Schaf ist weg.
Loc4_Rowy_00167	He, M#uller...! Hier stimmt was nicht. Ist das #uberhaupt das richtige Buch?
Loc4_Rowy_00170	Ja, das ist das richitge Buch. Hoffentlich ist es jetzt in den richtigen H#anden!
Loc4_Rowy_00173	Komisch. Gerade auf dieses Grab f#allt mehr Licht.
Loc4_Rowy_00176	Ich habe den Koraktor schon gefunden!
Loc4_Rowy_00179	Da ist er: DER KORAKTOR. Das Buch war nicht im Grab, sondern im Bauch der Statue!
Loc4_Wotrow_00002	Zu Hause war nat#urlich die Freude gro#t nach der R#uckkehr des verlorenen Sohnes. Die Mutter hatte unseren jungen Helden ordentlich ausgeschimpft, aber abends bei einem guten St#uck Schwein, welches der Vater geschlachtet hatte, verschwanden die schwarzen Wolken der Sorge wieder. Krabt mu#tte bei dem Sonntagskleid der Mutter versprechen, in der Heimat zu bleiben. Ja, in der Heimat, das schliesst nat#urlich auch das kleine sorbische Dorf Ostro ein, auf dem die Zufluchtsst#atte unserer Vorfahren trohnt - das Schlo#t.%%Dort ist das heilige Buch versteckt. Und Krabat begab sich auf den Weg.
Loc4_Wotrow_00005	Das ist doch das Klosterwasser!
Loc4_Wotrow_00008	Hier schlafen schon alle.
Loc4_Wotrow_00011	Da krieg ich doch eh nur nasse F#u#te!
Loc4_Wotrow_00014	In fremde Fenster schaut man nicht.
Loc4_Wotrow_00017	Ich gehe nicht zur#uck.
Loc1_CornyCholmc1_00002	Ein d#usterer Wald.
Loc1_CornyCholmc1_00005	Ein Dorf am Rande des Waldes. Ein sorbisches Dorf.
Loc1_CornyCholmc1_00008	Mein Echo sagt, da#t das Schwarzkollm ist.
Loc1_CornyCholmc1_00011	D#usterer Wald, h#prst Du die m#achtige Stimme Krabats ?
Loc1_CornyCholmc1_00014	Nein, Krabat, aber Dein Echo Antwortet Dir. Du stehst vor dem Wald neben dem Dorf Schwarzkollm. (reimt sich nicht, ich wei#t)
Loc1_CornyCholmc1_00017	Huch, so was interessantes!
Loc1_CornyCholmc1_00020	Vielleicht kann ich sp#ater das Echo nochmal probieren, aber den richtigen Rhythmus zum Reimen hat es noch nicht.
Loc1_CornyCholmc1_00023	In dieses Dorf will ich nicht. Ich bin dort oft betteln gewesen und die Leute schimpfen nur auf mich.
Loc1_CornyCholmc1_00030	Ich bin Krabat, und wer h#prt mich,
Loc1_CornyCholmc1_00031	Als gl#ucklicher und zufriedener Kerl,
Loc1_CornyCholmc1_00032	M#uller zu sein ist eine schwere Arbeit,
Loc1_CornyCholmc1_00035	wer aber schl#aft, ver#andert nichts!
Loc1_CornyCholmc1_00038	soll Krabat in seinen Tr#aumen wachsen!
Loc1_CornyCholmc1_00041	auf da#t ihm st#andig das Gl#uck hold sei.
Loc1_CornyCholmc1_00048	Ich bin Krabat, und wer h#prt mich,
Loc1_CornyCholmc1_00049	Als gl#ucklicher und zufriedener Kerl,
Loc1_CornyCholmc1_00050	M#uller, M#uller, Krabat ruft Dich,
Loc1_CornyCholmc1_00053	es verstecke sich die Sonne hinter dem d#usteren Wald.
Loc1_Cyrkej1_00002	Die Kircht#ur ist verschlossen. Man h#prt Musik aus der Kirche kommen.
Loc1_Cyrkej1_00005	Es h#prt keiner!
Loc1_Doma1_00002	Er ist sehr tief!
Loc1_Doma1_00005	Eine T#ur halt!
Loc1_Doma1_00008	Das ist mein Weidestock.
Loc1_Doma1_00011	Geradeaus geht es nach Eutrich.
Loc1_Doma1_00014	Das ist meine liebe Mutter!
